figure_id,current_or_final_label,accepted_template_candidate_file,regenerated_candidate_file,source_script_candidate,source_data_candidate,style_report_candidate,template_lock_status,reason,notes,generator_function,rejected_candidate_files,rejected_candidates_excluded,post_run_visual_review_required,generation_status
seasonal_personal_pm_distributions,Figure 1,figures/approved_references/main/Figure 1 - seasonal_personal_pm_distributions.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/exposure/Figure 1 data - Seasonal personal PM distributions.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_seasonal_personal_pm_distributions,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
activity_stratified_personal_pm_exposure,Figure 2,figures/approved_references/main/Figure 2 - activity_stratified_personal_pm_exposure.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/exposure/Figure 2 data - Activity-stratified personal PM exposure.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_activity_stratified_personal_pm_exposure,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
residential_uhoo_iaq_correlation_matrix,Figure 3,figures/approved_references/main/Figure 3 - residential_uhoo_iaq_correlation_matrix.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/validation/Figure 3 data - Residential uHoo IAQ correlation matrix.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_residential_uhoo_iaq_correlation_matrix,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
uhoo_iaq_garmin_sleep_correlation_matrix,Figure 4,figures/approved_references/main/Figure 4 - uhoo_iaq_garmin_sleep_correlation_matrix.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Figure 4 data - uHoo IAQ Garmin sleep correlation matrix.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_uhoo_iaq_sleep_correlation_matrix,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
hia_attributable_cases,Figure 5,figures/approved_references/main/Figure 5 - hia_attributable_cases.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/hia/Figure 5 data - HIA attributable cases.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 15.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_hia_attributable_cases,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
yll_scenario_outputs,Figure 6,figures/approved_references/main/Figure 6 - yll_scenario_outputs.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/yll/Figure 6 data - YLL scenario outputs.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 5.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_yll_scenario_outputs,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
participant_flow_completeness_summary,Supplementary Figure S1,figures/approved_references/supplementary/Supplementary Figure S1 - participant_flow_completeness_summary.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/denominators/Supplementary Figure S1 data - Participant flow completeness summary.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 5.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_participant_flow_completeness_summary,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
diurnal_pm_hr_stress,Supplementary Figure S2,figures/approved_references/supplementary/Supplementary Figure S2 - diurnal_pm_hr_stress.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/lag_models/Supplementary Figure S2 data - Diurnal PM heart-rate stress distributions.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_diurnal_pm_hr_stress,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
seasonal_garmin_sleep_distributions,Supplementary Figure S3,figures/approved_references/supplementary/Supplementary Figure S3 - seasonal_garmin_sleep_distributions.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Supplementary Figure S3 data - Seasonal Garmin sleep distributions.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 6.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_seasonal_garmin_sleep_distributions,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
ppm_garmin_correlation_matrix,Supplementary Figure S4,figures/approved_references/supplementary/Supplementary Figure S4 - ppm_garmin_correlation_matrix.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/validation/Supplementary Figure S4 data - PPM Garmin correlation matrix.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_ppm_garmin_correlation_matrix,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
descriptive_ols_pm_hr_lag,Supplementary Figure S5,figures/approved_references/supplementary/Supplementary Figure S5 - descriptive_ols_pm_hr_lag.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/lag_models/Supplementary Figure S5 data - Descriptive OLS PM heart-rate lag scatterplots.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 7.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_descriptive_ols_pm_hr_lag,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
ols_vs_lag_mixed_comparison,Supplementary Figure S6,figures/approved_references/supplementary/Supplementary Figure S6 - ols_vs_lag_mixed_comparison.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/lag_models/Supplementary Figure S6 data - OLS mixed-effects comparison.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 6.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_ols_vs_lag_mixed_comparison,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
iaq_sleep_regression_panels,Supplementary Figure S7,figures/approved_references/supplementary/Supplementary Figure S7 - iaq_sleep_regression_panels.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Supplementary Figure S7 data - IAQ sleep regression panels.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_iaq_sleep_regression_panels,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
stress_sleep_exploratory_panels,Supplementary Figure S8,figures/approved_references/supplementary/Supplementary Figure S8 - stress_sleep_exploratory_panels.png,,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Supplementary Figure S8 data - Stress sleep exploratory panels.csv,,SCRIPT_AVAILABLE,Accepted current manuscript/SM embedded or standalone template source found. Multiple candidate/historical files found: 4.,Manual visual review still required for raster-level template fidelity. Canonical regeneration entrypoint plus backend module found in the repository. Rejected/superseded HIA/YLL refresh files are explicitly excluded.,generate_stress_sleep_exploratory_panels,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
