analysis_stream,city,season,n_participants,n_participant_days_or_nights_or_rows,paired_n_if_city_level,primary_denominator,source_basis,notes
PPM personal PM analysis,Milan,Summer,54,526,32,Campaign-window participant-days with any non-missing personal PPM PM fraction,controlled harmonized dataset archive,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM analysis,Milan,Winter,45,576,32,Campaign-window participant-days with any non-missing personal PPM PM fraction,controlled harmonized dataset archive,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM analysis,Thessaloniki,Summer,51,709,34,Campaign-window participant-days with any non-missing personal PPM PM fraction,controlled harmonized dataset archive,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM analysis,Thessaloniki,Winter,57,620,34,Campaign-window participant-days with any non-missing personal PPM PM fraction,controlled harmonized dataset archive,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM common-support analysis,Milan,Summer,54,526,32,Campaign-window participant-days with complete ordered PM1/PM2.5/PM10 timestamp support,controlled harmonized dataset archive,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
PPM personal PM common-support analysis,Milan,Winter,45,572,32,Campaign-window participant-days with complete ordered PM1/PM2.5/PM10 timestamp support,controlled harmonized dataset archive,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
PPM personal PM common-support analysis,Thessaloniki,Summer,51,709,34,Campaign-window participant-days with complete ordered PM1/PM2.5/PM10 timestamp support,controlled harmonized dataset archive,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
PPM personal PM common-support analysis,Thessaloniki,Winter,57,620,34,Campaign-window participant-days with complete ordered PM1/PM2.5/PM10 timestamp support,controlled harmonized dataset archive,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
uHoo residential IAQ analysis,Milan,Summer,28,316,25,Campaign-window participant-days with any non-missing residential uHoo IAQ variable,controlled harmonized dataset archive,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
uHoo residential IAQ analysis,Milan,Winter,38,638,25,Campaign-window participant-days with any non-missing residential uHoo IAQ variable,controlled harmonized dataset archive,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
uHoo residential IAQ analysis,Thessaloniki,Summer,21,396,16,Campaign-window participant-days with any non-missing residential uHoo IAQ variable,controlled harmonized dataset archive,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
uHoo residential IAQ analysis,Thessaloniki,Winter,18,360,16,Campaign-window participant-days with any non-missing residential uHoo IAQ variable,controlled harmonized dataset archive,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
Garmin heart-rate/stress analysis,Milan,Summer,55,539,37,Campaign-window participant-days with Garmin average heart-rate or stress support,controlled harmonized dataset archive,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin heart-rate/stress analysis,Milan,Winter,59,741,37,Campaign-window participant-days with Garmin average heart-rate or stress support,controlled harmonized dataset archive,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin heart-rate/stress analysis,Thessaloniki,Summer,58,826,25,Campaign-window participant-days with Garmin average heart-rate or stress support,controlled harmonized dataset archive,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin heart-rate/stress analysis,Thessaloniki,Winter,40,382,25,Campaign-window participant-days with Garmin average heart-rate or stress support,controlled harmonized dataset archive,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin sleep data availability,Milan,Summer,44,277,26,"Participant-night sleep-stage availability for Total, Light, Deep, and REM sleep",controlled harmonized dataset archive,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep data availability,Milan,Winter,50,299,26,"Participant-night sleep-stage availability for Total, Light, Deep, and REM sleep",controlled harmonized dataset archive,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep data availability,Thessaloniki,Summer,55,309,20,"Participant-night sleep-stage availability for Total, Light, Deep, and REM sleep",controlled harmonized dataset archive,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep data availability,Thessaloniki,Winter,33,205,20,"Participant-night sleep-stage availability for Total, Light, Deep, and REM sleep",controlled harmonized dataset archive,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep + residential IAQ complete-case model input,Milan,Summer,8,39,6,Participant-night complete cases for sleep outcomes plus residential uHoo IAQ predictors,controlled harmonized dataset archive,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
Garmin sleep + residential IAQ complete-case model input,Milan,Winter,23,128,6,Participant-night complete cases for sleep outcomes plus residential uHoo IAQ predictors,controlled harmonized dataset archive,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
Garmin sleep + residential IAQ complete-case model input,Thessaloniki,Summer,3,11,1,Participant-night complete cases for sleep outcomes plus residential uHoo IAQ predictors,controlled harmonized dataset archive,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
Garmin sleep + residential IAQ complete-case model input,Thessaloniki,Winter,6,34,1,Participant-night complete cases for sleep outcomes plus residential uHoo IAQ predictors,controlled harmonized dataset archive,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
HIA daily PM input,Milan,Summer,54,526,32,Campaign-window daily personal PPM PM common-support input used for scenario HIA,controlled harmonized dataset archive,Matches the common-support daily personal PPM input used for scenario-based HIA.
HIA daily PM input,Milan,Winter,45,572,32,Campaign-window daily personal PPM PM common-support input used for scenario HIA,controlled harmonized dataset archive,Matches the common-support daily personal PPM input used for scenario-based HIA.
HIA daily PM input,Thessaloniki,Summer,51,709,34,Campaign-window daily personal PPM PM common-support input used for scenario HIA,controlled harmonized dataset archive,Matches the common-support daily personal PPM input used for scenario-based HIA.
HIA daily PM input,Thessaloniki,Winter,57,620,34,Campaign-window daily personal PPM PM common-support input used for scenario HIA,controlled harmonized dataset archive,Matches the common-support daily personal PPM input used for scenario-based HIA.
