rank,scenario_key,city,season,pollutant,endpoint,framework,metric,primary_value,capped_value,absolute_change,percent_change,upper_tail_cap_quantile,interpretation_flag,notes
1,Thessaloniki_Summer_PM10_Mortality all causes,Thessaloniki,Summer,PM10,Mortality all causes,long_term,cases_mean_absolute_change,925.9301477165025,689.1722957280399,-236.75785198846256,-25.569731428698674,0.95,thessaloniki_summer_pm10,Ranked by absolute magnitude of the listed cases_mean change metric.
2,Milan_Winter_PM10_Mortality all causes,Milan,Winter,PM10,Mortality all causes,long_term,cases_mean_absolute_change,6021.7663895704445,5808.029670963699,-213.73671860674585,-3.5494023643449992,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
3,Milan_Summer_PM10_Mortality all causes,Milan,Summer,PM10,Mortality all causes,long_term,cases_mean_absolute_change,2593.8054650931094,2412.65713314771,-181.1483319453996,-6.983882730731194,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
4,Thessaloniki_Summer_PM2.5_Mortality all causes,Thessaloniki,Summer,PM2.5,Mortality all causes,long_term,cases_mean_absolute_change,978.4367203771313,804.1037714183843,-174.332948958747,-17.817498600374652,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
5,Milan_Winter_PM2.5_Mortality all causes,Milan,Winter,PM2.5,Mortality all causes,long_term,cases_mean_absolute_change,5517.10325638398,5374.715407030005,-142.38784935397507,-2.580844380413118,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
6,Thessaloniki_Summer_PM2.5_Cardiovascular,Thessaloniki,Summer,PM2.5,Cardiovascular,long_term,cases_mean_absolute_change,604.1657127731697,502.87110439687103,-101.2946083762987,-16.766030616227493,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
7,Thessaloniki_Summer_PM10_Cardiovascular,Thessaloniki,Summer,PM10,Cardiovascular,long_term,cases_mean_absolute_change,300.9156271393936,223.22004043977074,-77.69558669962288,-25.819724764121947,0.95,thessaloniki_summer_pm10,Ranked by absolute magnitude of the listed cases_mean change metric.
8,Milan_Summer_PM2.5_Mortality all causes,Milan,Summer,PM2.5,Mortality all causes,long_term,cases_mean_absolute_change,3222.338318808061,3146.2336981404756,-76.10462066758555,-2.361782442997374,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
9,Milan_Winter_PM2.5_Cardiovascular,Milan,Winter,PM2.5,Cardiovascular,long_term,cases_mean_absolute_change,3203.9744908682146,3129.5609852204784,-74.4135056477362,-2.3225373940967797,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
10,Milan_Winter_PM10_Cardiovascular,Milan,Winter,PM10,Cardiovascular,long_term,cases_mean_absolute_change,1904.51152960162,1836.9653132091767,-67.54621639244328,-3.546642555982447,0.95,largest_absolute_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
1,Thessaloniki_Summer_PM10_Cardiac hospital admissions,Thessaloniki,Summer,PM10,Cardiac hospital admissions,short_term,cases_mean_percent_change,0.1456606970365773,0.025643209699330483,-0.12001748733724682,-82.39524441319189,0.95,thessaloniki_summer_pm10,Ranked by absolute magnitude of the listed cases_mean change metric.
2,Thessaloniki_Summer_PM10_Respiratory hospital admissions,Thessaloniki,Summer,PM10,Respiratory hospital admissions,short_term,cases_mean_percent_change,0.11951883227896792,0.02131652043245509,-0.09820231184651283,-82.16471829083774,0.95,thessaloniki_summer_pm10,Ranked by absolute magnitude of the listed cases_mean change metric.
3,Thessaloniki_Summer_PM2.5_Respiratory hospital admissions,Thessaloniki,Summer,PM2.5,Respiratory hospital admissions,short_term,cases_mean_percent_change,0.4290421747489767,0.27636062485629037,-0.15268154989268634,-35.58660637081122,0.95,largest_percent_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
4,Milan_Summer_PM10_Cardiac hospital admissions,Milan,Summer,PM10,Cardiac hospital admissions,short_term,cases_mean_percent_change,0.214810082676896,0.14079208130739618,-0.07401800136949982,-34.457414869502706,0.95,largest_percent_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
5,Thessaloniki_Summer_PM2.5_Cardiac hospital admissions,Thessaloniki,Summer,PM2.5,Cardiac hospital admissions,short_term,cases_mean_percent_change,0.5142717246365692,0.33916759460705187,-0.17510413002951736,-34.0489514863493,0.95,largest_percent_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
6,Milan_Summer_PM10_Respiratory hospital admissions,Milan,Summer,PM10,Respiratory hospital admissions,short_term,cases_mean_percent_change,0.2275945159222965,0.15161445180010272,-0.07598006412219377,-33.38396086315818,0.95,largest_percent_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
7,Thessaloniki_Summer_PM10_Cardiovascular,Thessaloniki,Summer,PM10,Cardiovascular,long_term,cases_mean_percent_change,300.9156271393936,223.22004043977074,-77.69558669962288,-25.819724764121947,0.95,thessaloniki_summer_pm10,Ranked by absolute magnitude of the listed cases_mean change metric.
8,Thessaloniki_Summer_PM10_Mortality all causes,Thessaloniki,Summer,PM10,Mortality all causes,long_term,cases_mean_percent_change,925.9301477165025,689.1722957280399,-236.75785198846256,-25.569731428698674,0.95,thessaloniki_summer_pm10,Ranked by absolute magnitude of the listed cases_mean change metric.
9,Thessaloniki_Summer_PM10_Chronic bronchitis,Thessaloniki,Summer,PM10,Chronic bronchitis,long_term,cases_mean_percent_change,107.89116842589232,80.72970808114307,-27.161460344749244,-25.174869028696964,0.95,thessaloniki_summer_pm10,Ranked by absolute magnitude of the listed cases_mean change metric.
10,Thessaloniki_Winter_PM10_Cardiac hospital admissions,Thessaloniki,Winter,PM10,Cardiac hospital admissions,short_term,cases_mean_percent_change,0.1968063274790637,0.16043230519129098,-0.03637402228777273,-18.482140667780207,0.95,largest_percent_cases_mean_change,Ranked by absolute magnitude of the listed cases_mean change metric.
