scenario_key,city,season,pollutant,endpoint,framework,output_scale,cases_mean_absolute_change,cases_mean_percent_change,cases_median_absolute_change,cases_median_percent_change,pm_mean_of_samples_absolute_change,pm_mean_of_samples_percent_change,exposure_contrast_mean_absolute_change,exposure_contrast_mean_percent_change,sensitivity_rank_by_abs_cases_mean_change,sensitivity_rank_by_percent_cases_mean_change,thessaloniki_summer_pm10_flag,status,notes
Thessaloniki_Summer_PM10_Mortality all causes,Thessaloniki,Summer,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,-236.75785198846256,-25.569731428698674,-222.39966153784042,-24.95238276259352,-3.734747005572256,-12.907198274769426,-3.7347470055722596,-26.800465579307396,1,8,yes,PASS,Explicit Thessaloniki summer PM10 sensitivity row.
Milan_Winter_PM10_Mortality all causes,Milan,Winter,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,-213.73671860674585,-3.5494023643449992,-204.752428629522,-3.4479545887000516,-1.141432221843985,-2.6174782049640557,-1.1414322218439814,-3.989893302287903,2,29,no,PASS,Upper-tail percent-change comparison row.
Milan_Summer_PM10_Mortality all causes,Milan,Summer,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,-181.1483319453996,-6.983882730731194,-175.12322538699527,-6.93811831383924,-0.8439872609259353,-3.1807084970815582,-0.8439872609259389,-7.317025280766416,3,18,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM2.5_Mortality all causes,Thessaloniki,Summer,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,-174.332948958747,-17.817498600374652,-164.5094846572714,-17.199184794157393,-3.5770718247035624,-14.871163392575792,-3.577071824703564,-18.773588571515873,4,11,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM2.5_Mortality all causes,Milan,Winter,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,-142.38784935397507,-2.580844380413118,-143.7655985423562,-2.6311097487824076,-0.9620480546685997,-2.4987112985167066,-0.9620480546685926,-2.8716335897163803,5,34,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM2.5_Cardiovascular,Thessaloniki,Summer,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,-101.2946083762987,-16.766030616227493,-94.22007095798841,-15.912469286976744,-3.5560714452201694,-14.771853394665191,-3.556071445220171,-18.64424552432324,6,12,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM10_Cardiovascular,Thessaloniki,Summer,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,-77.69558669962288,-25.819724764121947,-72.96130655776244,-25.277900733566298,-3.7773234783970686,-13.04330867574783,-3.777323478397072,-27.058469204701638,7,7,yes,PASS,Explicit Thessaloniki summer PM10 sensitivity row.
Milan_Summer_PM2.5_Mortality all causes,Milan,Summer,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,-76.10462066758555,-2.361782442997374,-75.08950689055155,-2.3609558791741696,-0.46828371533302615,-1.9757425647430975,-0.46828371533302615,-2.503969186918203,8,36,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM2.5_Cardiovascular,Milan,Winter,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,-74.4135056477362,-2.3225373940967797,-72.83675961545441,-2.289543323079435,-0.9615500929818523,-2.495607636922102,-0.9615500929818523,-2.867756472771488,9,37,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM10_Cardiovascular,Milan,Winter,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,-67.54621639244328,-3.546642555982447,-64.41453841702355,-3.421848970670067,-1.141302644284707,-2.6176428106100085,-1.1413026442846963,-3.9905133637903307,10,30,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM10_Mortality all causes,Thessaloniki,Winter,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,-60.08915511581904,-4.24710889915116,-59.51843607206115,-4.276821649952405,-1.0161177774258192,-2.751193161225661,-1.0161177774258228,-4.632675700062286,11,23,no,PASS,Upper-tail percent-change comparison row.
Milan_Summer_PM10_Cardiovascular,Milan,Summer,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,-57.51331335414875,-6.999452667702376,-57.63022225960276,-7.262812546883637,-0.8444934833859783,-3.1824586122198784,-0.8444934833859765,-7.320579685873023,12,17,no,PASS,Upper-tail percent-change comparison row.
Milan_Summer_PM2.5_Cardiovascular,Milan,Summer,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,-43.14889720408951,-2.2149164888597204,-43.09565305177239,-2.234739914602984,-0.46575492611880875,-1.9623230224659898,-0.46575492611880875,-2.4860316063262062,13,38,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM2.5_Mortality all causes,Thessaloniki,Winter,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,-43.05267464052099,-3.0162241360735447,-42.351761031611204,-3.000297485988354,-0.9424985434888811,-2.8054836532814305,-0.9424985434888882,-3.296040841094661,14,32,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM2.5_Chronic bronchitis,Thessaloniki,Summer,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-33.7908726452649,-15.944938657538072,-32.27243245492102,-15.599575904356943,-3.599751549515549,-14.961230533977542,-3.5997515495155508,-18.885893055146877,15,14,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM10_Chronic bronchitis,Milan,Winter,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-27.925702096200894,-3.3752405903967735,-28.88648363261575,-3.5128864915324733,-1.150730340940882,-2.638788216951292,-1.1507303409408678,-4.022367148152095,16,31,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM2.5_Chronic bronchitis,Milan,Winter,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-27.636579077707665,-2.0673457443824845,-27.726318762284563,-2.072802210301912,-0.9687079062102271,-2.5124840471623395,-0.9687079062102271,-2.886858267563151,17,40,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM10_Chronic bronchitis,Thessaloniki,Summer,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-27.161460344749244,-25.174869028696964,-26.156805417233954,-25.272627826265136,-3.775772701693324,-13.027219226726936,-3.7757727016933167,-27.001204188415045,18,9,yes,PASS,Explicit Thessaloniki summer PM10 sensitivity row.
Milan_Summer_PM10_Chronic bronchitis,Milan,Summer,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-25.088870329763495,-6.797518648727612,-25.772372756825803,-7.232740469435785,-0.8413201058040158,-3.166764906425011,-0.8413201058040158,-7.273338600773854,19,19,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM2.5_Cardiovascular,Thessaloniki,Winter,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,-23.697135977106882,-2.7574825273298846,-23.41641605978384,-2.7420114664518063,-0.9399754718892979,-2.7962205655690484,-0.9399754718892979,-3.2847982269324882,20,33,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM10_Cardiovascular,Thessaloniki,Winter,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,-19.50587878565142,-4.243970370347118,-19.502258724522846,-4.311341514085247,-1.0190335807161688,-2.7548034868382114,-1.0190335807161723,-4.633834193116059,21,24,no,PASS,Upper-tail percent-change comparison row.
Milan_Summer_PM2.5_Chronic bronchitis,Milan,Summer,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-17.646020503009026,-2.075182390405206,-17.224249583123537,-2.0559912063389048,-0.4693899351844095,-1.9727192706072345,-0.46938993518441663,-2.4975445750083836,22,39,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM2.5_Chronic bronchitis,Thessaloniki,Winter,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-7.294751764829186,-2.4849301309425385,-7.368090730127506,-2.5195976397746414,-0.9430549605333525,-2.798337759102978,-0.9430549605333418,-3.285843860568389,23,35,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM10_Chronic bronchitis,Thessaloniki,Winter,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,-6.61815703198323,-4.056514715273198,-6.396337205988857,-3.986441315497071,-1.0189847414392972,-2.752566314949703,-1.0189847414392936,-4.627658846923511,24,26,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM2.5_Cardiac hospital admissions,Thessaloniki,Summer,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.17510413002951736,-34.0489514863493,8.326672684688674e-17,4.3120339106336247e-14,-3.555739712252773,-14.832565230631083,-3.5557397122527794,-35.590874754961,25,5,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM2.5_Respiratory hospital admissions,Thessaloniki,Summer,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.15268154989268634,-35.58660637081122,2.7755575615628914e-17,1.6980127021028362e-14,-3.9340817179203853,-16.117628078597818,-3.934081717920386,-37.73328307406082,26,3,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM2.5_Respiratory hospital admissions,Milan,Winter,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.129068721380317,-3.6462980956424604,0.0,0.0,-0.9314384944085674,-2.4491341456593947,-0.9314384944085639,-3.9351875951427284,27,28,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM2.5_Cardiac hospital admissions,Milan,Winter,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.1270929958182605,-3.7134692493185897,-0.0006004561402126463,-0.02139183789346028,-0.944298665426146,-2.4694782490917984,-0.9442986654261425,-3.9567872416604355,28,27,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM10_Cardiac hospital admissions,Thessaloniki,Summer,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.12001748733724682,-82.39524441319189,0.0,0.0,-3.749229261390127,-12.94462680163829,-3.7401387149699095,-82.89139045026654,29,1,yes,PASS,Explicit Thessaloniki summer PM10 sensitivity row.
Milan_Winter_PM10_Cardiac hospital admissions,Milan,Winter,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.108734083833668,-13.995731113789235,0.0,0.0,-1.2210181462813168,-2.769662326260455,-1.2210181462813061,-14.294310260441327,30,15,no,PASS,Upper-tail percent-change comparison row.
Milan_Winter_PM10_Respiratory hospital admissions,Milan,Winter,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.10120942779574493,-13.062017910786775,0.0,0.0,-1.080058773421797,-2.487607839539091,-1.080058773421806,-13.443051232385454,31,16,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Summer_PM10_Respiratory hospital admissions,Thessaloniki,Summer,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.09820231184651283,-82.16471829083774,0.0,0.0,-3.7757638117766525,-12.995943628112316,-3.763480355092537,-82.7243312092793,32,2,yes,PASS,Explicit Thessaloniki summer PM10 sensitivity row.
Milan_Summer_PM10_Respiratory hospital admissions,Milan,Summer,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.07598006412219377,-33.38396086315818,0.0,0.0,-0.7927787099175845,-2.991693466487202,-0.7927787099175787,-33.63782144650555,33,6,no,PASS,Upper-tail percent-change comparison row.
Milan_Summer_PM10_Cardiac hospital admissions,Milan,Summer,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.07401800136949982,-34.457414869502706,0.0,0.0,-0.8412276174659645,-3.2021581501519925,-0.841227617465961,-35.01275722261917,34,4,no,PASS,Upper-tail percent-change comparison row.
Milan_Summer_PM2.5_Cardiac hospital admissions,Milan,Summer,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.07159847590005541,-4.776059827736192,0.0,0.0,-0.512081728987603,-2.1503596985403615,-0.5120817289876012,-4.92686083186285,35,20,no,PASS,Upper-tail percent-change comparison row.
Milan_Summer_PM2.5_Respiratory hospital admissions,Milan,Summer,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.06426360130188202,-4.11866221337305,0.0,0.0,-0.44487367182389903,-1.8782734334481237,-0.4448736718238919,-4.31068730436541,36,25,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM2.5_Cardiac hospital admissions,Thessaloniki,Winter,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.04520677398915962,-4.53805207940475,0.0,0.0,-0.9039354560286981,-2.7021304873366496,-0.9039354560287016,-4.696909197015257,37,22,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM2.5_Respiratory hospital admissions,Thessaloniki,Winter,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.03679950993474279,-4.583439945517672,0.0,0.0,-0.9368896741260144,-2.8105737761529257,-0.9368896741260073,-4.895340808651865,38,21,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM10_Cardiac hospital admissions,Thessaloniki,Winter,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,-0.03637402228777273,-18.482140667780207,0.0,0.0,-1.1143136259437867,-2.9999406454033255,-1.114313625943777,-18.634794920330428,39,10,no,PASS,Upper-tail percent-change comparison row.
Thessaloniki_Winter_PM10_Respiratory hospital admissions,Thessaloniki,Winter,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,-0.025864912572743065,-16.503991907477964,0.0,0.0,-0.9797672545599383,-2.6633210714629802,-0.9797672545599383,-16.869395572135844,40,13,no,PASS,Upper-tail percent-change comparison row.
