outcome,pollutant,lag_min,ols_beta,ols_ci_low,ols_ci_high,ols_p_value,mixed_model_beta,mixed_model_ci_low,mixed_model_ci_high,mixed_model_p_value,direction_agreement,magnitude_comparison,primary_model_source,status,notes
Garmin-derived average heart rate,PM1,1,-0.007499052805502852,-0.008603800827419284,-0.00639430478358642,2.1923917578469498e-40,0.0087941370778866,-0.0082706248163023,0.0258588989720756,0.3124644315625331,different_direction,absolute_beta_difference_per_1ug=0.0162932,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM1,5,-0.008194252657992472,-0.00930721552125212,-0.007081289794732823,3.3479789382231586e-47,0.0078644202486491,-0.0091954281288457,0.024924268626144,0.3662391112904481,different_direction,absolute_beta_difference_per_1ug=0.0160587,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM1,10,-0.008451820516254085,-0.009568731607918282,-0.007334909424589887,9.234294120759307e-50,0.010807593670858,-0.0060199423440025,0.0276351296857187,0.2080943948223367,different_direction,absolute_beta_difference_per_1ug=0.0192594,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM1,15,-0.00869663887843926,-0.009817568251176294,-0.007575709505702227,3.2326612936079712e-52,0.0104575325222545,-0.00632335742955,0.0272384224740592,0.2219214201820726,different_direction,absolute_beta_difference_per_1ug=0.0191542,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM1,30,-0.00908436312026426,-0.010217849822625608,-0.007950876417902913,1.3372735037484832e-55,0.0103757886174424,-0.0066995893252228,0.0274511665601077,0.2336588598775756,different_direction,absolute_beta_difference_per_1ug=0.0194602,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM1,45,-0.00967422456906276,-0.010820385603127688,-0.008528063534997833,1.807114655008505e-61,0.0165454516355807,-0.000715024310197,0.0338059275813585,0.0602709919579952,different_direction,absolute_beta_difference_per_1ug=0.0262197,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM1,60,-0.009430741339091905,-0.01058950234058351,-0.0082719803376003,2.802401956589565e-57,0.0075209967847611,-0.0095866353224929,0.0246286288920152,0.3888684842711202,different_direction,absolute_beta_difference_per_1ug=0.0169517,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM1,120,-0.011797756833949964,-0.013011341477647657,-0.010584172190252272,6.221937402825988e-81,-0.0099614401824389,-0.0268903636019797,0.0069674832371018,0.2487801110759105,agreement,absolute_beta_difference_per_1ug=0.00183632,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,1,-0.0053908966389291536,-0.006281509088763707,-0.0045002841890946004,1.8304498760014767e-32,0.0073053209042007,-0.0059457109036502,0.0205563527120517,0.2798964422978522,different_direction,absolute_beta_difference_per_1ug=0.0126962,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,5,-0.005538727711098747,-0.0064360116522038675,-0.0046414437699936265,1.0790112551367972e-33,0.0083345027475931,-0.0048020186284189,0.0214710241236051,0.2136735192984106,different_direction,absolute_beta_difference_per_1ug=0.0138732,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,10,-0.005674050268842948,-0.006574947708041226,-0.00477315282964467,5.241450609979631e-35,0.0059126264818445,-0.0071291245257545,0.0189543774894437,0.3742243587385605,different_direction,absolute_beta_difference_per_1ug=0.0115867,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,15,-0.0056474428546724655,-0.0065519377866452636,-0.0047429479226996675,1.963287974210339e-34,0.0103998408137509,-0.0027649139747312,0.023564595602233,0.1215373227371383,different_direction,absolute_beta_difference_per_1ug=0.0160473,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,30,-0.005675748849118012,-0.006591307331654657,-0.004760190366581366,5.731443407144294e-34,0.0074021855828373,-0.0057952364559088,0.0205996076215835,0.2716254143759811,different_direction,absolute_beta_difference_per_1ug=0.0130779,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,45,-0.0056176038020811945,-0.006544587059635728,-0.004690620544526661,1.551264457518963e-32,0.0085941458656131,-0.004478193393692,0.0216664851249182,0.1975502343632219,different_direction,absolute_beta_difference_per_1ug=0.0142117,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,60,-0.004923903616706231,-0.005862672222575992,-0.00398513501083647,8.669880789391114e-25,0.0073804921427931,-0.0059117034800551,0.0206726877656414,0.2764670697055275,different_direction,absolute_beta_difference_per_1ug=0.0123044,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM2.5,120,-0.00505531643293364,-0.0060461073229697865,-0.004064525542897494,1.5205196695180348e-23,0.0002172870207236,-0.0130255680570941,0.0134601420985413,0.974344916240703,different_direction,absolute_beta_difference_per_1ug=0.0052726,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,1,-0.00926197540694373,-0.010093226919757375,-0.008430723894130087,1.0255334789699e-105,0.0095593780927577,-0.0032151826260181,0.0223339388115335,0.1424591133472568,different_direction,absolute_beta_difference_per_1ug=0.0188214,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,5,-0.009106064610123109,-0.009943550067797206,-0.008268579152449012,9.179464615000647e-101,0.0121639239332831,-0.0005496865262524,0.0248775343928187,0.0607573337243258,different_direction,absolute_beta_difference_per_1ug=0.02127,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,10,-0.009209458942547903,-0.010050453198483598,-0.008368464686612207,3.529949844012391e-102,0.012640482656183,3.575748877746726e-06,0.0252773895634883,0.0499310024607477,different_direction,absolute_beta_difference_per_1ug=0.0218499,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,15,-0.009259104074412825,-0.01010360065400769,-0.00841460749481796,2.0086172820918266e-102,0.0123994165565205,-0.0002969857629454,0.0250958188759865,0.0556006105264739,different_direction,absolute_beta_difference_per_1ug=0.0216585,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,30,-0.009498497006647493,-0.010353691823061862,-0.008643302190233125,4.6713568231049346e-105,0.0065500556775396,-0.0061603965258103,0.0192605078808896,0.312474468479053,different_direction,absolute_beta_difference_per_1ug=0.0160486,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,45,-0.009480123602900523,-0.01034623236083384,-0.008614014844967205,4.36703354226873e-102,0.008855390551315,-0.0037301710537798,0.02144095215641,0.1678683948947419,different_direction,absolute_beta_difference_per_1ug=0.0183355,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,60,-0.008812322767361694,-0.009689725122441062,-0.007934920412282326,2.9335298338832955e-86,0.0087823113905109,-0.0039660115035608,0.0215306342845826,0.176938135488362,different_direction,absolute_beta_difference_per_1ug=0.0175946,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
Garmin-derived average heart rate,PM10,120,-0.008857762890114715,-0.00978590089103066,-0.007929624889198768,4.562174423568396e-78,-0.000168269217578,-0.0129786999079213,0.0126421614727652,0.9794605361487064,agreement,absolute_beta_difference_per_1ug=0.00868949,Phase 6 lag-specific mixed models,PASS,OLS scatter/panel is descriptive; Phase 6 adjusted mixed model accounts for participant clustering and fixed effects.
