outcome,pollutant,lag_min,model_type,n_rows,n_participants,converged,fit_method,aic,bic,log_likelihood,warning_count,warning_text_short,status,notes
Garmin-derived average heart rate,PM1,1,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,5,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,10,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,81648.20802779823,81677.04938928614,-40820.104013899116,1,Random effects covariance is singular,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,15,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,30,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,45,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,60,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,120,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,1,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,81642.45595128842,81671.29731277633,-40817.22797564421,1,Random effects covariance is singular,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,5,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,10,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,15,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,30,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,45,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,60,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,81634.62368016648,81663.46504165439,-40813.31184008324,1,Random effects covariance is singular,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM2.5,120,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,1,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,5,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,81640.02964315498,81668.87100464289,-40816.01482157749,1,Random effects covariance is singular,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,10,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,15,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,30,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,81646.69366380906,81675.53502529697,-40819.34683190453,1,Random effects covariance is singular,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,45,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,60,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM10,120,unadjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,1,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,5,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,10,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,15,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,30,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,45,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,60,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM1,120,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,1,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,5,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,10,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,15,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,30,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,45,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,60,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM2.5,120,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,1,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,5,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,10,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,15,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,30,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,45,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,60,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived stress index,PM10,120,unadjusted,10000,120,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,1,adjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,80318.85962738526,80549.5905192885,-40127.42981369263,1,Random effects covariance is singular,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,5,adjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,10,adjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,15,adjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,80321.19748134264,80551.92837324587,-40128.59874067132,1,Random effects covariance is singular,PASS,Mixed-effects fit with participant-specific random intercept.
Garmin-derived average heart rate,PM1,30,adjusted,10000,125,True,statsmodels MixedLM ML; lbfgs then cg fallback,-inf,-inf,inf,5,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter val,PASS,Mixed-effects fit with participant-specific random intercept.
